grid_code,latitude,longitude,height,coordinate_system,notes
CN019E01,37.23425234,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN019E02,37.23425234,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN019E03,37.23425234,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN019E04,37.23425234,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN019E05,37.23425234,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN019E06,37.23425234,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN020E01,37.23425683,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN020E02,37.23425683,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN020E03,37.23425683,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN020E04,37.23425683,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN020E05,37.23425683,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN020E06,37.23425683,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN021E01,37.23426132,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN021E02,37.23426132,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN021E03,37.23426132,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN021E04,37.23426132,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN021E05,37.23426132,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN021E06,37.23426132,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
